date,Germany,United Kingdom,United States
2022-05-12,0.0,0.2857142857142857,0.0
2022-05-13,0.0,0.2857142857142857,0.0
2022-05-14,0.0,0.2857142857142857,0.0
2022-05-15,0.0,0.8571428571428571,0.0
2022-05-16,0.0,0.8571428571428571,0.0
2022-05-17,0.0,0.8571428571428571,0.0
2022-05-18,0.0,1.1428571428571428,0.14285714285714285
2022-05-19,0.14285714285714285,1.0,0.2857142857142857
2022-05-20,0.2857142857142857,2.4285714285714284,0.2857142857142857
2022-05-21,0.5714285714285714,2.4285714285714284,0.2857142857142857
2022-05-22,0.5714285714285714,1.8571428571428572,0.2857142857142857
2022-05-23,0.8571428571428571,7.142857142857143,0.2857142857142857
2022-05-24,1.7142857142857142,9.142857142857142,0.5714285714285714
2022-05-25,1.8571428571428572,9.857142857142858,0.7142857142857143
2022-05-26,2.0,13.857142857142858,1.2857142857142858
2022-05-27,2.7142857142857144,12.285714285714286,1.8571428571428572
2022-05-28,2.5714285714285716,12.285714285714286,2.0
2022-05-29,2.5714285714285716,12.285714285714286,2.142857142857143
2022-05-30,2.7142857142857144,17.428571428571427,2.142857142857143
2022-05-31,4.142857142857143,17.0,2.4285714285714284
2022-06-01,4.0,17.0,2.2857142857142856
2022-06-02,6.142857142857143,14.571428571428571,2.142857142857143
2022-06-03,7.714285714285714,17.285714285714285,2.2857142857142856
2022-06-04,8.285714285714286,17.285714285714285,2.2857142857142856
2022-06-05,8.285714285714286,17.285714285714285,2.142857142857143
2022-06-06,7.857142857142857,17.714285714285715,2.4285714285714284
2022-06-07,9.428571428571429,18.857142857142858,2.7142857142857144
2022-06-08,11.285714285714286,17.857142857142858,3.2857142857142856
2022-06-09,13.142857142857142,22.714285714285715,3.4285714285714284
2022-06-10,12.428571428571429,20.0,3.142857142857143
2022-06-11,11.714285714285714,20.0,3.2857142857142856
2022-06-12,11.857142857142858,34.857142857142854,3.5714285714285716
2022-06-13,15.428571428571429,24.0,5.857142857142857
2022-06-14,13.571428571428571,29.0,6.142857142857143
2022-06-15,18.142857142857142,29.0,7.285714285714286
2022-06-16,17.285714285714285,29.714285714285715,9.571428571428571
2022-06-17,28.0,29.714285714285715,10.714285714285714
2022-06-18,28.142857142857142,29.714285714285715,11.0
2022-06-19,28.0,14.857142857142858,10.857142857142858
2022-06-20,26.285714285714285,46.142857142857146,8.857142857142858
2022-06-21,33.714285714285715,38.42857142857143,13.142857142857142
2022-06-22,35.0,38.42857142857143,14.285714285714286
2022-06-23,42.142857142857146,48.0,14.428571428571429
2022-06-24,37.142857142857146,48.0,15.571428571428571
2022-06-25,37.0,48.0,15.857142857142858
2022-06-26,37.0,71.71428571428571,17.0
2022-06-27,55.857142857142854,40.42857142857143,25.428571428571427
2022-06-28,55.714285714285715,40.42857142857143,26.285714285714285
2022-06-29,53.0,40.42857142857143,30.428571428571427
2022-06-30,51.57142857142857,46.42857142857143,36.0
2022-07-01,59.142857142857146,46.42857142857143,43.714285714285715
2022-07-02,59.285714285714285,46.42857142857143,43.42857142857143
2022-07-03,60.285714285714285,22.714285714285715,43.0
2022-07-04,53.42857142857143,39.285714285714285,35.42857142857143
2022-07-05,54.857142857142854,39.285714285714285,50.0
2022-07-06,63.57142857142857,39.285714285714285,48.57142857142857
2022-07-07,62.142857142857146,45.285714285714285,59.0
2022-07-08,61.714285714285715,45.285714285714285,58.142857142857146
2022-07-09,75.0,45.285714285714285,59.0
2022-07-10,74.0,45.285714285714285,58.714285714285715
2022-07-11,68.71428571428571,54.857142857142854,70.71428571428571
2022-07-12,62.57142857142857,55.285714285714285,59.0
2022-07-13,64.42857142857143,55.285714285714285,70.85714285714286
2022-07-14,75.85714285714286,43.857142857142854,77.57142857142857
2022-07-15,65.0,43.857142857142854,116.71428571428571
2022-07-16,51.57142857142857,43.857142857142854,115.28571428571429
2022-07-17,51.57142857142857,43.857142857142854,114.71428571428571
2022-07-18,48.0,58.0,133.85714285714286
2022-07-19,51.0,57.57142857142857,141.71428571428572
2022-07-20,48.714285714285715,57.57142857142857,154.0
2022-07-21,42.57142857142857,50.42857142857143,153.85714285714286
2022-07-22,52.857142857142854,50.42857142857143,158.28571428571428
2022-07-23,52.857142857142854,50.42857142857143,158.28571428571428
2022-07-24,52.857142857142854,50.42857142857143,158.28571428571428
2022-07-25,59.714285714285715,51.42857142857143,208.85714285714286
2022-07-26,57.57142857142857,51.42857142857143,236.28571428571428
2022-07-27,51.285714285714285,51.42857142857143,329.57142857142856
2022-07-28,49.857142857142854,48.285714285714285,341.7142857142857
2022-07-29,43.714285714285715,48.285714285714285,328.57142857142856
2022-07-30,43.714285714285715,48.285714285714285,328.57142857142856
2022-07-31,43.714285714285715,48.285714285714285,328.57142857142856
2022-08-01,43.57142857142857,37.42857142857143,333.57142857142856
2022-08-02,44.857142857142854,37.42857142857143,362.85714285714283
2022-08-03,46.0,37.42857142857143,281.2857142857143
2022-08-04,42.714285714285715,44.714285714285715,312.7142857142857
2022-08-05,41.714285714285715,44.714285714285715,330.7142857142857
2022-08-06,41.714285714285715,44.714285714285715,330.85714285714283
2022-08-07,41.714285714285715,44.714285714285715,330.85714285714283
2022-08-08,34.142857142857146,36.857142857142854,444.2857142857143
2022-08-09,36.857142857142854,36.857142857142854,450.42857142857144
2022-08-10,34.857142857142854,36.857142857142854,537.2857142857143
2022-08-11,32.0,22.714285714285715,520.2857142857143
2022-08-12,30.714285714285715,22.714285714285715,520.0
2022-08-13,30.714285714285715,22.714285714285715,519.8571428571429
2022-08-14,30.714285714285715,22.714285714285715,519.8571428571429
2022-08-15,32.285714285714285,25.571428571428573,420.14285714285717
2022-08-16,29.142857142857142,25.571428571428573,453.57142857142856
2022-08-17,26.857142857142858,25.571428571428573,441.7142857142857
